Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Oxygen Production (kg/yr),Name
5.0,2.5,4.9,1.5,1.7,Celtis australis
10.0,6.0,28.3,3.0,46.9,Aesculus hippocastanum
6.0,4.0,12.6,1.8,9.4,Platanus x hispanica
3.5,1.5,1.8,1.0,2.9,Aesculus hippocastanum
5.0,3.5,9.6,1.5,7.9,Carpinus betulus
4.0,2.0,3.1,1.2,9.2,Carpinus betulus
9.0,6.0,28.3,2.7,21.8,Tilia cordata
7.0,6.0,28.3,2.1,2.6,Celtis australis
5.0,1.0,0.8,1.5,2.6,Carpinus betulus
6.0,3.0,7.1,1.8,6.1,Aesculus hippocastanum
4.0,2.0,3.1,1.2,3.4,Aesculus hippocastanum
6.0,3.0,7.1,1.8,4.1,Platanus x hispanica
15.0,12.0,113.1,4.5,19.8,Platanus x hispanica
16.0,10.0,78.5,4.8,4.7,Celtis australis
4.5,2.0,3.1,1.3,1.8,Tilia cordata
6.0,5.0,19.6,1.8,11.9,Aesculus hippocastanum
14.0,23.0,415.5,4.2,21.7,Platanus x hispanica
12.5,10.0,78.5,3.8,4.7,Celtis australis
3.0,1.0,0.8,0.9,2.1,Carpinus betulus
3.5,2.0,3.1,1.0,4.3,Aesculus hippocastanum
5.0,3.0,7.1,1.5,3.4,Tilia cordata
4.0,5.0,19.6,1.2,4.5,Celtis australis
6.0,6.0,28.3,1.8,2.6,Celtis australis
8.3,6.7,35.2,2.5,3.5,Celtis australis
10.0,8.0,50.3,3.0,8.6,Platanus x hispanica
6.0,2.5,4.9,1.8,6.7,Carpinus betulus
8.0,12.0,113.1,2.4,3.7,Celtis australis
13.0,11.5,103.9,3.9,5.4,Celtis australis
7.0,4.0,12.6,2.1,5.6,Tilia cordata
5.0,3.0,7.1,1.5,3.9,Aesculus hippocastanum
10.0,10.0,78.5,3.0,17.9,Platanus x hispanica
11.0,8.0,50.3,3.3,14.2,Tilia cordata
20.0,17.0,227.0,6.0,0.7,Platanus x hispanica
6.0,4.0,12.6,1.8,6.5,Tilia cordata
11.0,7.0,38.5,3.3,2.5,Celtis australis
3.0,9.6,72.5,0.9,2.5,Platanus x hispanica
8.3,6.7,35.2,2.5,3.5,Celtis australis
6.0,6.0,28.3,1.8,6.5,Tilia cordata
10.0,8.0,50.3,3.0,3.6,Celtis australis
4.0,2.0,3.1,1.2,3.9,Aesculus hippocastanum
13.0,10.0,78.5,3.9,5.8,Celtis australis
6.0,4.0,12.6,1.8,7.9,Aesculus hippocastanum
4.0,2.5,4.9,1.2,3.0,Tilia cordata
12.0,12.0,113.1,3.6,3.4,Celtis australis
18.0,11.0,95.0,5.4,2.2,Celtis australis
6.0,5.0,19.6,1.8,3.5,Celtis australis
6.0,4.0,12.6,1.8,7.2,Platanus x hispanica
8.0,8.0,50.3,2.4,46.5,Aesculus hippocastanum
10.0,9.0,63.6,3.0,32.7,Aesculus hippocastanum
4.0,2.0,3.1,1.2,9.2,Carpinus betulus
10.0,6.0,28.3,3.0,46.9,Aesculus hippocastanum
17.0,5.0,19.6,5.1,5.8,Celtis australis
4.0,1.5,1.8,1.2,3.0,Carpinus betulus
10.0,8.0,50.3,3.0,3.4,Celtis australis
13.0,12.0,113.1,3.9,31.4,Platanus x hispanica
7.0,6.0,28.3,2.1,2.5,Celtis australis
11.0,4.0,12.6,3.3,2.4,Celtis australis
12.0,6.0,28.3,3.6,17.2,Aesculus hippocastanum
12.0,7.0,38.5,3.6,17.9,Platanus x hispanica
4.0,2.5,4.9,1.2,3.0,Tilia cordata
18.0,9.0,63.6,5.4,58.7,Tilia cordata
11.0,10.0,78.5,3.3,11.9,Tilia cordata
7.0,6.0,28.3,2.1,2.8,Celtis australis
4.0,3.0,7.1,1.2,9.2,Carpinus betulus
8.0,6.0,28.3,2.4,2.7,Celtis australis
9.0,8.0,50.3,2.7,8.6,Platanus x hispanica
10.0,10.0,78.5,3.0,13.0,Tilia cordata
20.0,4.0,12.6,6.0,3.1,Celtis australis
5.0,3.0,7.1,1.5,3.4,Tilia cordata
6.0,4.0,12.6,1.8,2.5,Celtis australis
10.5,8.0,50.3,3.2,18.8,Platanus x hispanica
4.5,2.0,3.1,1.3,5.0,Carpinus betulus
30.0,23.0,415.5,9.0,21.7,Platanus x hispanica
5.0,2.5,4.9,1.5,4.1,Platanus x hispanica
8.0,5.0,19.6,2.4,3.4,Celtis australis
28.0,21.0,346.4,8.4,80.2,Platanus x hispanica
4.5,2.0,3.1,1.3,4.0,Carpinus betulus
17.0,7.0,38.5,5.1,5.6,Celtis australis
11.0,7.0,38.5,3.3,3.0,Celtis australis
4.5,3.0,7.1,1.3,1.8,Celtis australis
17.0,12.0,113.1,5.1,1.2,Celtis australis
5.0,2.5,4.9,1.5,4.5,Carpinus betulus
8.0,12.0,113.1,2.4,5.1,Celtis australis
13.0,12.0,113.1,3.9,24.6,Tilia cordata
6.0,5.0,19.6,1.8,2.6,Celtis australis
4.0,2.0,3.1,1.2,7.9,Carpinus betulus
5.0,3.0,7.1,1.5,5.0,Carpinus betulus
