Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Name
8.0,6.0,28.3,2.4,Abies nordmanniana
9.0,14.0,153.9,2.7,Celtis australis
8.0,12.0,113.1,2.4,Celtis australis
8.0,12.0,113.1,2.4,Celtis australis
10.0,8.0,50.3,3.0,Prunus cerasifera
10.0,1.0,0.8,3.0,Cupressus
14.0,2.0,3.1,4.2,Cupressus
14.0,2.0,3.1,4.2,Cupressus
4.0,1.0,0.8,1.2,Sorbus
4.0,1.0,0.8,1.2,Sorbus aucuparia
15.0,9.0,63.6,4.5,Platanus x hispanica
8.0,7.0,38.5,2.4,Corylus colurna
11.0,10.0,78.5,3.3,Corylus colurna
4.0,4.0,12.6,1.2,Prunus serrulata
3.5,2.5,4.9,1.0,Prunus serrulata
4.0,3.0,7.1,1.2,Prunus serrulata
5.0,4.0,12.6,1.5,Prunus serrulata
6.0,3.0,7.1,1.8,Pyrus calleryana
6.5,4.0,12.6,1.9,Pyrus calleryana
5.0,2.5,4.9,1.5,Pyrus calleryana
7.0,4.0,12.6,2.1,Pyrus calleryana
6.0,3.0,7.1,1.8,Pyrus calleryana
6.5,4.0,12.6,1.9,Pyrus calleryana
7.0,4.0,12.6,2.1,Pyrus calleryana
6.5,4.0,12.6,1.9,Pyrus calleryana
6.5,4.0,12.6,1.9,Pyrus calleryana
6.5,4.0,12.6,1.9,Pyrus calleryana
6.5,4.0,12.6,1.9,Pyrus calleryana
6.5,4.0,12.6,1.9,Pyrus calleryana
7.0,4.0,12.6,2.1,Pyrus calleryana
6.0,3.0,7.1,1.8,Pyrus calleryana
4.0,1.5,1.8,1.2,Pyrus calleryana
5.0,4.0,12.6,1.5,Pyrus calleryana
6.0,4.0,12.6,1.8,Pyrus calleryana
7.0,4.0,12.6,2.1,Pyrus calleryana
7.0,4.0,12.6,2.1,Pyrus calleryana
4.5,2.0,3.1,1.3,Pyrus calleryana
5.0,4.0,12.6,1.5,Pyrus calleryana
7.0,4.0,12.6,2.1,Pyrus calleryana
4.0,2.0,3.1,1.2,Pyrus calleryana
3.5,1.5,1.8,1.0,Pyrus calleryana
7.0,4.0,12.6,2.1,Pyrus calleryana
6.0,3.0,7.1,1.8,Pyrus calleryana
7.0,6.0,28.3,2.1,Tilia cordata
7.0,6.0,28.3,2.1,Tilia cordata
7.0,6.0,28.3,2.1,Tilia cordata
7.0,6.0,28.3,2.1,Tilia cordata
7.0,6.0,28.3,2.1,Tilia cordata
6.0,5.0,19.6,1.8,Tilia cordata
6.0,5.0,19.6,1.8,Tilia cordata
6.0,4.0,12.6,1.8,Tilia cordata
6.0,5.0,19.6,1.8,Tilia cordata
7.0,6.0,28.3,2.1,Tilia cordata
7.0,6.0,28.3,2.1,Tilia cordata
7.0,6.0,28.3,2.1,Tilia cordata
7.0,5.0,19.6,2.1,Tilia cordata
8.0,9.0,63.6,2.4,Acer campestre
6.0,4.0,12.6,1.8,Tilia cordata
6.0,4.0,12.6,1.8,Tilia cordata
8.0,6.0,28.3,2.4,Tilia cordata
8.0,4.0,12.6,2.4,Tilia cordata
8.0,4.0,12.6,2.4,Tilia cordata
8.0,4.0,12.6,2.4,Tilia cordata
8.0,4.0,12.6,2.4,Tilia cordata
8.0,4.0,12.6,2.4,Tilia cordata
5.0,3.0,7.1,1.5,Tilia cordata
7.0,4.0,12.6,2.1,Tilia cordata
5.0,3.0,7.1,1.5,Tilia cordata
6.0,8.0,50.3,1.8,Morus alba
6.0,8.0,50.3,1.8,Morus alba
6.0,7.0,38.5,1.8,Morus alba
7.0,10.0,78.5,2.1,Morus alba
6.0,6.0,28.3,1.8,Morus alba
6.0,6.0,28.3,1.8,Morus alba
6.0,6.0,28.3,1.8,Morus alba
6.0,6.0,28.3,1.8,Morus alba
6.0,6.0,28.3,1.8,Morus alba
6.0,6.0,28.3,1.8,Morus alba
6.0,6.0,28.3,1.8,Morus alba
7.0,7.0,38.5,2.1,Morus alba
6.0,6.0,28.3,1.8,Morus alba
6.0,6.0,28.3,1.8,Morus alba
7.0,7.0,38.5,2.1,Morus alba
6.0,6.0,28.3,1.8,Morus alba
8.0,8.0,50.3,2.4,Morus alba
7.0,4.0,12.6,2.1,Tilia cordata
5.0,2.0,3.1,1.5,Pyrus calleryana
6.0,3.0,7.1,1.8,Pyrus calleryana
6.0,3.0,7.1,1.8,Pyrus calleryana
6.0,3.0,7.1,1.8,Pyrus calleryana
5.0,2.5,4.9,1.5,Acer pseudoplatanus
12.0,3.0,7.1,3.6,Carpinus betulus
12.0,3.0,7.1,3.6,Carpinus betulus
12.0,3.0,7.1,3.6,Carpinus betulus
8.0,3.0,7.1,2.4,Carpinus betulus
8.0,3.0,7.1,2.4,Carpinus betulus
8.0,3.0,7.1,2.4,Carpinus betulus
6.0,3.0,7.1,1.8,Carpinus betulus
6.0,3.0,7.1,1.8,Carpinus betulus
6.0,3.0,7.1,1.8,Carpinus betulus
6.0,3.0,7.1,1.8,Carpinus betulus
6.0,3.0,7.1,1.8,Carpinus betulus
6.0,2.0,3.1,1.8,Carpinus betulus
6.0,2.0,3.1,1.8,Carpinus betulus
6.0,2.0,3.1,1.8,Carpinus betulus
6.0,2.0,3.1,1.8,Carpinus betulus
6.0,2.0,3.1,1.8,Carpinus betulus
6.0,2.0,3.1,1.8,Carpinus betulus
6.0,2.0,3.1,1.8,Carpinus betulus
8.0,3.0,7.1,2.4,Carpinus betulus
6.0,3.0,7.1,1.8,Carpinus betulus
4.0,3.0,7.1,1.2,Carpinus betulus
15.0,4.0,12.6,4.5,Carpinus betulus
15.0,4.0,12.6,4.5,Carpinus betulus
15.0,3.0,7.1,4.5,Carpinus betulus
8.0,3.0,7.1,2.4,Carpinus betulus
15.0,4.0,12.6,4.5,Carpinus betulus
8.0,3.0,7.1,2.4,Carpinus betulus
8.0,4.0,12.6,2.4,Carpinus betulus
4.0,1.5,1.8,1.2,Carpinus betulus
4.0,1.5,1.8,1.2,Carpinus betulus
4.0,1.5,1.8,1.2,Carpinus betulus
4.0,1.5,1.8,1.2,Carpinus betulus
4.0,1.5,1.8,1.2,Carpinus betulus
4.0,1.5,1.8,1.2,Carpinus betulus
4.0,1.5,1.8,1.2,Carpinus betulus
4.0,1.5,1.8,1.2,Carpinus betulus
4.0,1.5,1.8,1.2,Carpinus betulus
4.0,1.5,1.8,1.2,Carpinus betulus
4.0,1.5,1.8,1.2,Carpinus betulus
10.0,3.0,7.1,3.0,Celtis australis
10.0,3.0,7.1,3.0,Celtis australis
12.0,3.0,7.1,3.6,Celtis australis
18.0,5.0,19.6,5.4,Celtis australis
8.0,3.0,7.1,2.4,Celtis australis
8.0,3.0,7.1,2.4,Celtis australis
8.0,3.0,7.1,2.4,Celtis australis
6.0,3.0,7.1,1.8,Celtis australis
4.0,0.8,0.5,1.2,Cupressus sempervirens
6.0,1.2,1.1,1.8,Cupressus sempervirens
8.0,1.0,0.8,2.4,Cupressus sempervirens
12.0,1.2,1.1,3.6,Cupressus sempervirens
