Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Gross Carbon Sequestration (kg/yr)
Aesculus hippocastanum,8.0,6.0,28.3,2.4,13.3
Aesculus hippocastanum,5.0,3.0,7.1,1.5,2.9
Aesculus hippocastanum,9.0,8.0,50.3,2.7,11.4
Aesculus hippocastanum,6.0,6.0,28.3,1.8,4.7
Aesculus hippocastanum,6.0,6.0,28.3,1.8,8.1
Aesculus hippocastanum,7.0,6.0,28.3,2.1,6.8
Aesculus hippocastanum,8.4,6.4,32.7,2.5,9.4
Aesculus hippocastanum,8.4,6.4,32.7,2.5,9.4
Aesculus hippocastanum,8.4,6.4,32.7,2.5,9.4
Aesculus hippocastanum,5.0,2.0,3.1,1.5,2.3
Aesculus hippocastanum,7.0,8.0,50.3,2.1,3.0
Aesculus hippocastanum,6.0,8.0,50.3,1.8,3.0
Aesculus hippocastanum,6.0,6.0,28.3,1.8,3.0
Aesculus hippocastanum,12.0,10.0,78.5,3.6,13.6
Aesculus hippocastanum,5.0,3.0,7.1,1.5,1.7
Aesculus hippocastanum,12.0,9.0,63.6,3.6,17.7
Aesculus hippocastanum,13.0,4.0,12.6,3.9,7.1
Aesculus hippocastanum,10.0,10.0,78.5,3.0,14.2
Aesculus hippocastanum,5.0,4.0,12.6,1.5,1.1
Aesculus hippocastanum,12.0,6.0,28.3,3.6,2.5
Aesculus hippocastanum,5.0,3.0,7.1,1.5,2.3
Aesculus hippocastanum,13.0,12.0,113.1,3.9,23.3
Aesculus hippocastanum,12.0,10.0,78.5,3.6,16.0
Aesculus hippocastanum,5.0,4.0,12.6,1.5,1.7
Aesculus hippocastanum,13.0,8.0,50.3,3.9,12.1
Aesculus hippocastanum,13.0,6.0,28.3,3.9,11.3
Aesculus hippocastanum,20.0,5.0,19.6,6.0,6.8
Aesculus hippocastanum,8.0,4.0,12.6,2.4,6.3
Aesculus hippocastanum,6.0,4.0,12.6,1.8,4.7
Aesculus hippocastanum,12.0,10.0,78.5,3.6,18.6
Aesculus hippocastanum,12.0,8.0,50.3,3.6,17.7
Aesculus hippocastanum,13.0,7.0,38.5,3.9,12.8
Aesculus hippocastanum,7.0,4.0,12.6,2.1,3.0
Aesculus hippocastanum,14.0,10.0,78.5,4.2,20.1
Aesculus hippocastanum,6.0,4.0,12.6,1.8,3.0
Aesculus hippocastanum,10.0,8.0,50.3,3.0,17.6
Aesculus hippocastanum,12.0,8.0,50.3,3.6,9.8
Aesculus hippocastanum,10.0,8.0,50.3,3.0,17.6
Aesculus hippocastanum,14.0,8.0,50.3,4.2,17.9
Aesculus hippocastanum,7.0,3.0,7.1,2.1,3.0
Aesculus hippocastanum,12.0,8.0,50.3,3.6,17.7
Aesculus hippocastanum,6.0,4.0,12.6,1.8,6.2
Aesculus hippocastanum,7.0,4.0,12.6,2.1,9.5
