Neighborhood,Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Oxygen Production (kg/yr),Count
CENTRO STORICO PIEDICASTELLO,Other,4,2,3.1,1.2,2.7,2
CENTRO STORICO PIEDICASTELLO,Other,12,12,113.1,3.6,61.8,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,7,7,38.5,2.1,3,2
S.GIUSEPPE-S.CHIARA,Other,7,3,7.1,2.1,6,1
GARDOLO,Platanus x hispanica,9,8,50.3,2.7,8.6,1
ARGENTARIO,Other,3,1,0.8,0.9,5.2,1
CENTRO STORICO PIEDICASTELLO,Other,5,4,12.6,1.5,15.5,2
CENTRO STORICO PIEDICASTELLO,Other,9,8,50.3,2.7,25.1,1
CENTRO STORICO PIEDICASTELLO,Other,6.7,5,19.6,2,12.6,30
VILLAZZANO,Other,8,7,38.5,2.4,23.9,2
GARDOLO,Other,5,3,7.1,1.5,6.9,1
S.GIUSEPPE-S.CHIARA,Other,5,4,12.6,1.5,8.6,1
OLTREFERSINA,Celtis australis,14,12,113.1,4.2,5.8,1
CENTRO STORICO PIEDICASTELLO,Other,8,8,50.3,2.4,29.8,2
OLTREFERSINA,Other,16,13,132.7,4.8,34.6,1
CENTRO STORICO PIEDICASTELLO,Other,16,11,95,4.8,35.1,1
BONDONE,Other,3,1,0.8,0.9,5.1,20
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,9,8,50.3,2.7,30.5,1
CENTRO STORICO PIEDICASTELLO,Other,11,4,12.6,3.3,8.6,1
OLTREFERSINA,Other,6,4,12.6,1.8,3.9,2
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,3.5,1.5,1.8,1,2.9,3
CENTRO STORICO PIEDICASTELLO,Other,20,7,38.5,6,33.3,1
CENTRO STORICO PIEDICASTELLO,Other,18,3,7.1,5.4,69.40000000000001,1
MATTARELLO,Other,5,3,7.1,1.5,7.5,8
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,10,6,28.3,3,31.4,1
CENTRO STORICO PIEDICASTELLO,Other,6,3,7.1,1.8,7,1
S.GIUSEPPE-S.CHIARA,Other,10,10,78.5,3,48.8,1
OLTREFERSINA,Other,2,2,3.1,0.6,1.3,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,20,12,113.1,6,97.2,1
OLTREFERSINA,Other,18,10,78.5,5.4,20.3,1
S.GIUSEPPE-S.CHIARA,Other,15,6,28.3,4.5,8.699999999999999,1
CENTRO STORICO PIEDICASTELLO,Other,9,6,28.3,2.7,19.5,1
OLTREFERSINA,Celtis australis,12,8,50.3,3.6,4.5,1
CENTRO STORICO PIEDICASTELLO,Other,6,5,19.6,1.8,18,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,13,12.5,122.7,3.9,5.3,1
VILLAZZANO,Other,5,8,50.3,1.5,14.3,1
OLTREFERSINA,Other,12,6,28.3,3.6,16.4,1
OLTREFERSINA,Other,7,2,3.1,2.1,6.1,1
CENTRO STORICO PIEDICASTELLO,Other,2,1,0.8,0.6,2.8,1
CENTRO STORICO PIEDICASTELLO,Other,14,6,28.3,4.2,52,1
CENTRO STORICO PIEDICASTELLO,Other,5,4,12.6,1.5,8.4,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,8,11,95,2.4,5.4,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,7,5,19.6,2.1,15,1
GARDOLO,Tilia cordata,4,2,3.1,1.2,2.2,1
OLTREFERSINA,Other,4,3,7.1,1.2,3.8,1
S.GIUSEPPE-S.CHIARA,Platanus x hispanica,25,21,346.4,7.5,21.7,1
OLTREFERSINA,Other,19,9,63.6,5.7,29.8,1
CENTRO STORICO PIEDICASTELLO,Other,24,20,314.2,7.2,82.59999999999999,1
CENTRO STORICO PIEDICASTELLO,Other,12,5,19.6,3.6,7.1,1
S.GIUSEPPE-S.CHIARA,Other,8,6,28.3,2.4,6,1
OLTREFERSINA,Celtis australis,12,10,78.5,3.6,5.3,2
S.GIUSEPPE-S.CHIARA,Other,10,8,50.3,3,45.7,1
GARDOLO,Carpinus betulus,2.5,2,3.1,0.8,4,1
CENTRO STORICO PIEDICASTELLO,Other,8,5,19.6,2.4,12.7,1
ARGENTARIO,Other,5,6,28.3,1.5,15.7,2
S.GIUSEPPE-S.CHIARA,Other,4,2.5,4.9,1.2,6,1
CENTRO STORICO PIEDICASTELLO,Other,5,3,7.1,1.5,4.6,1
GARDOLO,Other,5,3,7.1,1.5,1.9,1
S.GIUSEPPE-S.CHIARA,Other,6,7,38.5,1.8,10,1
OLTREFERSINA,Other,4.5,2,3.1,1.3,1.8,1
POVO,Tilia cordata,5,2.5,4.9,1.5,3.4,1
CENTRO STORICO PIEDICASTELLO,Other,7,7,38.5,2.1,19,1
OLTREFERSINA,Other,10,6,28.3,3,32.4,1
S.GIUSEPPE-S.CHIARA,Other,15,4,12.6,4.5,15.6,1
S.GIUSEPPE-S.CHIARA,Other,6.5,3.5,9.6,1.9,3.9,1
BONDONE,Other,6,8,50.3,1.8,17.1,1
S.GIUSEPPE-S.CHIARA,Other,14,14,153.9,4.2,33.7,1
CENTRO STORICO PIEDICASTELLO,Aesculus hippocastanum,10,5,19.6,3,30.7,1
GARDOLO,Other,4,1.5,1.8,1.2,8,1
BONDONE,Tilia cordata,6,5,19.6,1.8,7,1
OLTREFERSINA,Other,10,5,19.6,3,5.4,3
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,9,8,50.3,2.7,23.8,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,8,4,12.6,2.4,21,2
OLTREFERSINA,Celtis australis,10,7,38.5,3,4.7,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,9,9,63.6,2.7,5.2,1
S.GIUSEPPE-S.CHIARA,Celtis australis,8,3,7.1,2.4,3.4,1
CENTRO STORICO PIEDICASTELLO,Other,23,8,50.3,6.9,21.7,1
SARDAGNA,Other,5,1.5,1.8,1.5,3,1
VILLAZZANO,Other,5,3,7.1,1.5,5.3,1
MATTARELLO,Platanus x hispanica,13,10,78.5,3.9,23.8,1
S.GIUSEPPE-S.CHIARA,Platanus x hispanica,12,7,38.5,3.6,29.2,1
S.GIUSEPPE-S.CHIARA,Other,10,2,3.1,3,3.4,1
MEANO,Other,4,1,0.8,1.2,4.9,1
OLTREFERSINA,Other,10,5,19.6,3,15.3,1
S.GIUSEPPE-S.CHIARA,Other,12,12,113.1,3.6,38.2,1
S.GIUSEPPE-S.CHIARA,Other,4,2,3.1,1.2,3.2,3
S.GIUSEPPE-S.CHIARA,Carpinus betulus,4,2,3.1,1.2,4.5,1
ARGENTARIO,Other,5,9,63.6,1.5,7.3,2
OLTREFERSINA,Other,10,8,50.3,3,30.1,1
S.GIUSEPPE-S.CHIARA,Other,2.5,5.3,21.7,0.8,11.5,1
S.GIUSEPPE-S.CHIARA,Other,10,10,78.5,3,97.5,1
OLTREFERSINA,Other,7.5,6,28.3,2.3,9.699999999999999,1
S.GIUSEPPE-S.CHIARA,Other,8,7,38.5,2.4,13.3,1
GARDOLO,Other,5,4,12.6,1.5,3.2,1
CENTRO STORICO PIEDICASTELLO,Other,10,8,50.3,3,24,1
S.GIUSEPPE-S.CHIARA,Platanus x hispanica,26,22,380.1,7.8,93.09999999999999,1
CENTRO STORICO PIEDICASTELLO,Aesculus hippocastanum,8,6,28.3,2.4,15.1,1
CENTRO STORICO PIEDICASTELLO,Other,10,12,113.1,3,20.9,1
GARDOLO,Other,7.5,5,20,2.2,22.5,2
ARGENTARIO,Other,14,7,38.5,4.2,11.2,1
OLTREFERSINA,Other,5,5,19.6,1.5,20.7,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,7,11,95,2.1,3.4,2
CENTRO STORICO PIEDICASTELLO,Other,13,11,95,3.9,33.2,1
OLTREFERSINA,Other,7,5,19.6,2.1,13.7,2
CENTRO STORICO PIEDICASTELLO,Other,4.5,5,19.6,1.3,5.2,1
CENTRO STORICO PIEDICASTELLO,Other,11,8,50.3,3.3,51.2,1
S.GIUSEPPE-S.CHIARA,Other,5.5,3,7.1,1.7,6.2,1
OLTREFERSINA,Other,11,3,7.1,3.3,12.8,1
OLTREFERSINA,Celtis australis,5.5,4,12.6,1.7,2.4,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,13,10,78.5,3.9,53.5,1
VILLAZZANO,Other,6,3,7.1,1.8,25.3,1
OLTREFERSINA,Other,7,6,28.3,2.1,3.9,1
CENTRO STORICO PIEDICASTELLO,Other,7,7,38.5,2.1,24.1,1
OLTREFERSINA,Aesculus hippocastanum,10,12,113.1,3,41.2,1
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,7,4,12.6,2.1,14.8,1
OLTREFERSINA,Aesculus hippocastanum,6,12,113.1,1.8,19,1
OLTREFERSINA,Other,6,3,7.1,1.8,11,2
VILLAZZANO,Other,8,6,28.3,2.4,29,1
RAVINA-ROMAGNANO,Aesculus hippocastanum,6,7,38.5,1.8,18.1,1
OLTREFERSINA,Other,6.6,4.3,14.5,2,11.7,1
ARGENTARIO,Other,3,1,0.8,0.9,4.6,7
OLTREFERSINA,Carpinus betulus,8,8,50.3,2.4,4.7,2
S.GIUSEPPE-S.CHIARA,Other,3.5,3,7.1,1,3.4,1
OLTREFERSINA,Other,5,1,0.8,1.5,4,3
CENTRO STORICO PIEDICASTELLO,Other,16,6,28.3,4.8,46.1,1
ARGENTARIO,Celtis australis,12,10,78.5,3.6,4.1,1
OLTREFERSINA,Other,10,8,50.3,3,14.8,1
OLTREFERSINA,Other,14,12,113.1,4.2,16.2,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,14,6,28.3,4.2,5.8,1
S.GIUSEPPE-S.CHIARA,Other,7,3,7.1,2.1,12.2,1
OLTREFERSINA,Other,6,4,12.6,1.8,7.8,2
S.GIUSEPPE-S.CHIARA,Other,12,8,50.3,3.6,14.4,1
ARGENTARIO,Celtis australis,6,5,19.6,1.8,3.9,1
S.GIUSEPPE-S.CHIARA,Other,10,7,38.5,3,9.699999999999999,4
GARDOLO,Tilia cordata,6,4,12.6,1.8,5.1,2
S.GIUSEPPE-S.CHIARA,Other,6,4,12.6,1.8,2.3,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,8,5,19.6,2.4,52.5,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,5,6,28.3,1.5,3.4,1
S.GIUSEPPE-S.CHIARA,Other,14,9,63.6,4.2,52,1
CENTRO STORICO PIEDICASTELLO,Other,5,4,12.6,1.5,4.1,1
OLTREFERSINA,Other,6,6,28.3,1.8,14.1,1
GARDOLO,Other,5,4,12.6,1.5,9,1
OLTREFERSINA,Other,10,8,50.3,3,28.2,1
CENTRO STORICO PIEDICASTELLO,Aesculus hippocastanum,5,4,12.6,1.5,3,1
OLTREFERSINA,Other,4.5,5,19.6,1.3,6.8,1
OLTREFERSINA,Other,10,6,28.3,3,6,1
CENTRO STORICO PIEDICASTELLO,Other,6,3.1,7.5,1.8,3.8,1
GARDOLO,Other,8,8,50.3,2.4,22.7,1
CENTRO STORICO PIEDICASTELLO,Other,4.5,2.5,4.9,1.3,12.3,1
GARDOLO,Other,6,6,28.3,1.8,3,1
S.GIUSEPPE-S.CHIARA,Other,4.5,4.5,15.9,1.3,9.800000000000001,1
VILLAZZANO,Other,6,3,7.1,1.8,11.6,2
ARGENTARIO,Other,5,6,28.3,1.5,6.9,2
CENTRO STORICO PIEDICASTELLO,Other,4,2,3.1,1.2,10,1
BONDONE,Other,4,2,3.1,1.2,2.5,1
CENTRO STORICO PIEDICASTELLO,Other,17,2,3.1,5.1,42.8,1
OLTREFERSINA,Aesculus hippocastanum,12,9,63.6,3.6,36.1,1
OLTREFERSINA,Celtis australis,13,11,95,3.9,4.2,1
S.GIUSEPPE-S.CHIARA,Other,12,4,12.6,3.6,8.5,1
S.GIUSEPPE-S.CHIARA,Other,26,12,113.1,7.8,58.4,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,28,25,490.9,8.4,0.7,1
ARGENTARIO,Other,5,3,7.1,1.5,5.5,1
OLTREFERSINA,Other,4.5,5,19.6,1.3,4.8,1
OLTREFERSINA,Aesculus hippocastanum,12,3.5,9.6,3.6,11.1,1
OLTREFERSINA,Tilia cordata,6,6,28.3,1.8,5.6,2
ARGENTARIO,Other,8,8,50.3,2.4,10.2,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,15,12,113.1,4.5,5.8,1
CENTRO STORICO PIEDICASTELLO,Tilia cordata,4.5,3,7.1,1.3,5.6,1
MATTARELLO,Other,3.5,2,3.1,1,3.3,2
ARGENTARIO,Other,8.6,2.3,4.3,2.6,31,24
CENTRO STORICO PIEDICASTELLO,Other,3.5,3,7.1,1,3.6,2
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,18,17,227,5.4,21.7,1
OLTREFERSINA,Other,16,11,95,4.8,62.5,1
POVO,Other,11,4,12.6,3.3,9.4,1
OLTREFERSINA,Other,8,6,28.3,2.4,11.3,2
OLTREFERSINA,Other,4,2,3.1,1.2,4.1,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,10,4,12.6,3,50.5,1
S.GIUSEPPE-S.CHIARA,Other,3,2,3.1,0.9,3.9,1
S.GIUSEPPE-S.CHIARA,Other,9,4,12.6,2.7,4.2,2
S.GIUSEPPE-S.CHIARA,Other,14,1,0.8,4.2,15.1,1
OLTREFERSINA,Other,11,7,38.5,3.3,8.800000000000001,1
S.GIUSEPPE-S.CHIARA,Other,4,3,7.1,1.2,5.6,1
S.GIUSEPPE-S.CHIARA,Other,5.5,2,3.1,1.7,4.5,1
CENTRO STORICO PIEDICASTELLO,Other,11,5,19.6,3.3,9.6,1
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,7,5,19.6,2.1,15.5,1
OLTREFERSINA,Other,17,7,38.5,5.1,111,1
VILLAZZANO,Other,20,9,63.6,6,49.9,1
CENTRO STORICO PIEDICASTELLO,Other,10,8,50.3,3,17.6,1
CENTRO STORICO PIEDICASTELLO,Other,4,4,12.6,1.2,5.6,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,9,7,38.5,2.7,18.5,1
RAVINA-ROMAGNANO,Other,6,7,38.5,1.8,26,2
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,8,5,19.6,2.4,12.8,1
CENTRO STORICO PIEDICASTELLO,Other,16,6,28.3,4.8,44,1
OLTREFERSINA,Celtis australis,7.5,6,28.3,2.3,2.1,1
CENTRO STORICO PIEDICASTELLO,Other,7,6,28.3,2.1,5.4,1
S.GIUSEPPE-S.CHIARA,Carpinus betulus,7,2,3.1,2.1,1.7,1
S.GIUSEPPE-S.CHIARA,Other,4,4.5,15.9,1.2,4.1,1
OLTREFERSINA,Celtis australis,12,10,78.5,3.6,3.9,4
OLTREFERSINA,Tilia cordata,5,2,3.1,1.5,2.2,1
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,6,3,7.1,1.8,9.9,1
S.GIUSEPPE-S.CHIARA,Other,6,12,113.1,1.8,17.4,1
RAVINA-ROMAGNANO,Other,4,2,3.1,1.2,16.2,1
S.GIUSEPPE-S.CHIARA,Other,5,3.5,9.6,1.5,6.7,1
OLTREFERSINA,Other,13,6,28.3,3.9,15,1
GARDOLO,Other,13,5,19.6,3.9,11.3,2
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,12,10,78.5,3.6,49.7,1
GARDOLO,Other,7,3,7.1,2.1,6.4,2
S.GIUSEPPE-S.CHIARA,Other,11,6,28.3,3.3,21.5,2
S.GIUSEPPE-S.CHIARA,Other,6,3,7.1,1.8,29.5,1
CENTRO STORICO PIEDICASTELLO,Other,7,4,12.6,2.1,7.7,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,26,24,452.4,7.8,21.7,1
GARDOLO,Platanus x hispanica,12,7,38.5,3.6,17.9,1
GARDOLO,Other,13,5,19.6,3.9,8.4,1
S.GIUSEPPE-S.CHIARA,Other,11,9,63.6,3.3,42.6,1
S.GIUSEPPE-S.CHIARA,Other,5,4,12.6,1.5,11.1,1
OLTREFERSINA,Other,6,6,28.3,1.8,10,2
OLTREFERSINA,Other,4,1,0.8,1.2,4.1,3
S.GIUSEPPE-S.CHIARA,Other,7,4,12.6,2.1,26,1
OLTREFERSINA,Other,11,7,38.5,3.3,22.2,1
S.GIUSEPPE-S.CHIARA,Other,7,6,28.3,2.1,7.5,1
GARDOLO,Other,0.8,5.3,21.7,0.2,16.4,1
OLTREFERSINA,Other,7,5,19.8,2.1,12.3,1
OLTREFERSINA,Other,7,4,12.6,2.1,35.1,1
OLTREFERSINA,Other,18,5,19.6,5.4,19.7,2
OLTREFERSINA,Other,7,6,28.3,2.1,16.3,7
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,3.5,2.5,4.9,1,4.3,3
CENTRO STORICO PIEDICASTELLO,Other,9,13,132.7,2.7,24.5,1
OLTREFERSINA,Other,14,4,12.6,4.2,20.5,1
OLTREFERSINA,Other,5,7,38.5,1.5,12.1,1
MEANO,Celtis australis,5,4,12.6,1.5,2.7,1
CENTRO STORICO PIEDICASTELLO,Other,6,2,3.1,1.8,5.5,1
OLTREFERSINA,Celtis australis,5,1,0.8,1.5,2.1,1
S.GIUSEPPE-S.CHIARA,Other,12,9,63.6,3.6,14.4,1
S.GIUSEPPE-S.CHIARA,Other,4,1.5,1.8,1.2,4.7,1
CENTRO STORICO PIEDICASTELLO,Other,7,9,63.6,2.1,17.8,1
GARDOLO,Other,7,5,19.6,2.1,7.4,1
CENTRO STORICO PIEDICASTELLO,Other,3.5,4,12.6,1,10.4,1
OLTREFERSINA,Other,6,3,7.1,1.8,12.1,1
S.GIUSEPPE-S.CHIARA,Other,7,6,28.3,2.1,20.4,1
S.GIUSEPPE-S.CHIARA,Other,9,4,12.6,2.7,8,1
OLTREFERSINA,Other,4,6,28.3,1.2,3.9,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,14,9,63.6,4.2,0.2,1
OLTREFERSINA,Other,4,3,7.1,1.2,4.9,2
S.GIUSEPPE-S.CHIARA,Other,24,15,176.7,7.2,5,1
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,6,4,12.6,1.8,9.5,1
CENTRO STORICO PIEDICASTELLO,Aesculus hippocastanum,9,7,38.5,2.7,41.1,1
S.GIUSEPPE-S.CHIARA,Other,5,4,12.6,1.5,9.300000000000001,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,24,18,254.5,7.2,88.7,1
CENTRO STORICO PIEDICASTELLO,Other,18,7,38.5,5.4,46.1,1
S.GIUSEPPE-S.CHIARA,Other,9,3,7.1,2.7,7.3,1
VILLAZZANO,Other,5,3,7.1,1.5,5,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,18,15,176.7,5.4,17.8,1
OLTREFERSINA,Other,8,6,28.3,2.4,11.6,2
CENTRO STORICO PIEDICASTELLO,Other,7,6,28.3,2.1,4.2,1
OLTREFERSINA,Other,7.7,5.3,22.3,2.3,10.7,1
S.GIUSEPPE-S.CHIARA,Other,6,4,12.6,1.8,13,1
CENTRO STORICO PIEDICASTELLO,Aesculus hippocastanum,8,11,95,2.4,40.9,1
GARDOLO,Other,7,6,28.3,2.1,5.6,2
S.GIUSEPPE-S.CHIARA,Other,12,8,50.3,3.6,22.5,1
OLTREFERSINA,Other,4,3.5,9.6,1.2,4.5,1
CENTRO STORICO PIEDICASTELLO,Other,6,3.5,9.6,1.8,17,1
OLTREFERSINA,Other,9,6,28.3,2.7,21.2,1
GARDOLO,Platanus x hispanica,7,2,3.1,2.1,4.1,1
S.GIUSEPPE-S.CHIARA,Other,12,4,12.6,3.6,15.1,2
CENTRO STORICO PIEDICASTELLO,Other,7,2,3.1,2.1,6.8,2
OLTREFERSINA,Other,10,8,50.3,3,21.2,1
S.GIUSEPPE-S.CHIARA,Other,20,12,113.1,6,52.6,1
S.GIUSEPPE-S.CHIARA,Other,12,11,95,3.6,17.4,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,5,2.5,4.9,1.5,4.1,1
GARDOLO,Other,17,6,28.3,5.1,54.3,1
VILLAZZANO,Other,12,12,113.1,3.6,21.4,1
POVO,Other,12,4,12.6,3.6,10,1
GARDOLO,Other,3,3,7.1,0.9,7.9,1
OLTREFERSINA,Other,9,8,50.3,2.7,18.6,1
OLTREFERSINA,Other,5,5,19.6,1.5,16,1
GARDOLO,Platanus x hispanica,4,2.5,4.9,1.2,4.1,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,13,12.5,122.7,3.9,5.4,2
S.GIUSEPPE-S.CHIARA,Celtis australis,8,7,38.5,2.4,2.6,1
BONDONE,Aesculus hippocastanum,7,6,28.3,2.1,27.2,1
CENTRO STORICO PIEDICASTELLO,Other,6,5,19.6,1.8,13.1,1
OLTREFERSINA,Other,3,1,0.8,0.9,2.7,2
CENTRO STORICO PIEDICASTELLO,Other,8,7,38.5,2.4,27.3,1
S.GIUSEPPE-S.CHIARA,Celtis australis,8,9,63.6,2.4,5.6,1
OLTREFERSINA,Other,12,9,63.6,3.6,30.2,1
CENTRO STORICO PIEDICASTELLO,Other,4,4,12.6,1.2,7.4,1
GARDOLO,Other,6,6,28.3,1.8,4.3,8
OLTREFERSINA,Other,6,2,3.1,1.8,9.4,7
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,11,10,78.5,3.3,29.8,1
VILLAZZANO,Other,14,6,28.3,4.2,30.4,1
S.GIUSEPPE-S.CHIARA,Other,4,4,12.6,1.2,11.5,1
S.GIUSEPPE-S.CHIARA,Other,4,2,3.1,1.2,2.8,2
GARDOLO,Other,8,4,12.6,2.4,2.8,6
GARDOLO,Other,15,4,12.6,4.5,23.6,1
S.GIUSEPPE-S.CHIARA,Other,10,8,50.3,3,20.5,1
OLTREFERSINA,Other,6.5,4,12.6,1.9,6.5,1
S.GIUSEPPE-S.CHIARA,Other,7,4,12.6,2.1,11,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,5.5,5,19.6,1.7,5,1
OLTREFERSINA,Other,7,8,50.3,2.1,6.3,1
GARDOLO,Platanus x hispanica,5,3,7.1,1.5,5.2,2
S.GIUSEPPE-S.CHIARA,Other,3,2.5,4.9,0.9,4.3,3
S.GIUSEPPE-S.CHIARA,Other,9,9,63.6,2.7,20.6,1
OLTREFERSINA,Other,6,3,7.1,1.8,19.7,1
GARDOLO,Other,5,2,3.1,1.5,9,1
OLTREFERSINA,Other,8,5,19.6,2.4,9.5,1
S.GIUSEPPE-S.CHIARA,Other,6,3,7.1,1.8,3.6,10
SARDAGNA,Other,3,1.5,1.8,0.9,3.2,1
CENTRO STORICO PIEDICASTELLO,Other,6,3.5,9.6,1.8,5.1,1
OLTREFERSINA,Other,11,7,38.5,3.3,6.4,1
CENTRO STORICO PIEDICASTELLO,Other,9,1,0.8,2.7,16.3,2
GARDOLO,Other,6,1,0.8,1.8,6.1,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,7,6,28.3,2.1,15,1
S.GIUSEPPE-S.CHIARA,Other,14,10,78.5,4.2,27.9,1
S.GIUSEPPE-S.CHIARA,Other,5,2,3.1,1.5,4.5,1
RAVINA-ROMAGNANO,Other,6,7,38.5,1.8,18.7,4
S.GIUSEPPE-S.CHIARA,Celtis australis,6,6,28.3,1.8,5.3,1
CENTRO STORICO PIEDICASTELLO,Other,8,4,12.6,2.4,4.8,1
OLTREFERSINA,Other,8,5,19.6,2.4,18.8,1
MATTARELLO,Other,5,3,7.1,1.5,13,3
S.GIUSEPPE-S.CHIARA,Other,5,2,3.1,1.5,7.6,1
S.GIUSEPPE-S.CHIARA,Platanus x hispanica,16,16,201.1,4.8,54.7,1
MEANO,Other,8.6,2.3,4.3,2.6,31,20
OLTREFERSINA,Celtis australis,8,7,38.5,2.4,2.3,1
VILLAZZANO,Tilia cordata,7,4,12.6,2.1,4.2,1
VILLAZZANO,Other,10,3,7.1,3,7.1,1
CENTRO STORICO PIEDICASTELLO,Other,9,5,19.6,2.7,13,1
OLTREFERSINA,Other,21,5,19.6,6.3,15.9,1
S.GIUSEPPE-S.CHIARA,Other,10,6,28.3,3,21.2,1
S.GIUSEPPE-S.CHIARA,Other,5.5,4.5,15.9,1.7,10.1,1
OLTREFERSINA,Other,6,4,12.6,1.8,1.5,1
OLTREFERSINA,Carpinus betulus,10,6,28.3,3,12.8,1
S.GIUSEPPE-S.CHIARA,Other,17,6,28.3,5.1,10.2,1
POVO,Other,5,3,7.1,1.5,20.8,1
ARGENTARIO,Other,1.9,0.4,0.1,0.6,8.699999999999999,2
MEANO,Other,5,5,19.6,1.5,20.4,1
ARGENTARIO,Other,12,5,19.6,3.6,24,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,26,20,314.2,7.8,11.4,1
OLTREFERSINA,Other,6,4,12.6,1.8,5.8,1
S.GIUSEPPE-S.CHIARA,Other,11,8,50.3,3.3,20.4,1
OLTREFERSINA,Other,9,3,7.1,2.7,3.9,2
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,24,18,254.5,7.2,0.7,1
S.GIUSEPPE-S.CHIARA,Other,5,3,7.1,1.5,9.4,2
OLTREFERSINA,Other,28,16,201.1,8.4,50,1
OLTREFERSINA,Other,8,6,28.3,2.4,8.6,1
S.GIUSEPPE-S.CHIARA,Other,5,4,12.6,1.5,10,2
GARDOLO,Other,12,5,19.6,3.6,24.5,1
OLTREFERSINA,Other,1,5.3,21.7,0.3,22.2,1
RAVINA-ROMAGNANO,Other,5,4,12.6,1.5,26.9,5
VILLAZZANO,Other,5,7,38.5,1.5,19.9,1
S.GIUSEPPE-S.CHIARA,Other,22,8,50.3,6.6,21.2,1
RAVINA-ROMAGNANO,Other,7,10,78.5,2.1,8.699999999999999,1
OLTREFERSINA,Other,3.5,3,7.1,1,4.9,1
OLTREFERSINA,Other,5,3,7.1,1.5,9.6,1
S.GIUSEPPE-S.CHIARA,Other,4,2,3.1,1.2,4,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,16,12,113.1,4.8,93.09999999999999,1
GARDOLO,Other,6,3,7.1,1.8,7.3,1
CENTRO STORICO PIEDICASTELLO,Other,3.5,2,3.1,1,3.5,1
OLTREFERSINA,Other,4,4,12.6,1.2,3.7,2
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,8,5,19.6,2.4,46.5,1
S.GIUSEPPE-S.CHIARA,Other,16,12,113.1,4.8,41,1
CENTRO STORICO PIEDICASTELLO,Other,6,4,12.6,1.8,3.6,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,12,9,63.6,3.6,24.9,1
VILLAZZANO,Other,20,8,50.3,6,43.2,1
CENTRO STORICO PIEDICASTELLO,Other,4,3,7.1,1.2,6.2,3
SARDAGNA,Other,4,2,3.1,1.2,3.8,3
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,6,3.5,9.6,1.8,5.2,1
POVO,Aesculus hippocastanum,8,4,12.6,2.4,46.5,1
CENTRO STORICO PIEDICASTELLO,Other,15,6,28.3,4.5,22.5,1
CENTRO STORICO PIEDICASTELLO,Other,10,8,50.3,3,45.8,1
ARGENTARIO,Other,16,4,12.6,4.8,46.1,1
OLTREFERSINA,Other,18.7,6.6,33.8,5.6,57.7,1
OLTREFERSINA,Other,10,7,38.5,3,15.4,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,14,11,95,4.2,5.8,1
S.GIUSEPPE-S.CHIARA,Other,5.5,4.5,15.9,1.7,6.1,1
S.GIUSEPPE-S.CHIARA,Carpinus betulus,8,3,7.1,2.4,5.6,1
BONDONE,Other,8,4,12.6,2.4,16.8,6
